Drop_point,Shipment_Mode,Dosage_Form,Line_Item_Quantity,Line_Item_Value,Pack_Price,Unit_Price,Weight,Freight_Cost,Line_Item_Insurance,Delivery_Status,Pickup_Point
South Africa,Truck,Tablet,200,8396.0,41.98,0.35,,,16.46,Delivered Early,Others
Others,Air,Test kit,4,300.0,75.0,3.0,4.0,133.25,0.59,On time,
Côte d'Ivoire,Air,Others,20,822.0,41.1,0.14,,,1.61,On time,Others
Côte d'Ivoire,Air,Test kit,31,734.7,23.7,0.79,11.0,515.32,,On time,Others
Côte d'Ivoire,Air,Test kit,19,551.0,29.0,0.97,13.0,859.53,,On time,
Vietnam,Air,Others,198,35802.36,180.82,1.0,389.0,7286.16,,On time,Others
Nigeria,Air,Others,416,2579.2,6.2,0.03,,,,On time,India
Côte d'Ivoire,Air,Tablet,16683,65897.85,3.95,0.07,1498.0,20257.08,,On time,India
Côte d'Ivoire,Air,Others,9321,29361.15,3.15,0.05,,,,On time,India
Guyana,Air,Others,602,1414.7,2.35,0.04,37.0,569.52,,On time,India
Uganda,Air,Tablet,6349,21269.15,3.35,0.06,369.0,2623.49,,On time,India
Zambia,Air,Tablet,33333,120332.13,3.61,0.06,,,,On time,India
Vietnam,Air,Tablet,98400,329640.0,3.35,0.06,4300.0,27923.26,,On time,India
Vietnam,Air,Others,1700,17850.0,10.5,0.18,356.0,14982.1,,Delayed,India
Vietnam,Air,Tablet,700,30835.0,44.05,0.73,,,,On time,India
Vietnam,Air,Tablet,38300,641525.0,16.75,0.56,,,,On time,India
Vietnam,Air,Tablet,1320,238682.4,180.82,1.51,304.0,13453.12,,On time,Others
Guyana,Air,Test kit,230,18400.0,80.0,0.8,38681.0,801.54,,On time,Others
Nigeria,Air,Test kit,40,1600.0,40.0,2.0,14.0,713.58,,On time,
Nigeria,Air,Test kit,8,3200.0,400.0,4.0,,,,On time,Others
Zimbabwe,Air,Others,54,513.0,9.5,0.16,,,,On time,Others
Tanzania,Air,Test kit,700,97300.0,139.0,1.39,488.0,3114.08,,On time,
Guyana,Air,Test kit,1000,32000.0,32.0,1.6,337.0,5240.47,,On time,
Guyana,Air,Test kit,1500,48000.0,32.0,1.6,515.0,8576.8,76.8,On time,
Guyana,Air,Test kit,300,21597.0,71.99,0.72,69.0,1398.6,34.56,Delayed,Others
Côte d'Ivoire,Air,Others,1577,14981.5,9.5,0.16,309.0,,23.97,On time,Others
Haiti,Air,Others,450,4.5,0.01,0.0,,,0.01,On time,Others
Haiti,Air,Others,300,3.0,0.01,0.0,24.0,240.0,0.0,Delivered Early,Others
Côte d'Ivoire,Air,Test kit,2000,47000.0,23.5,0.78,750.0,7961.7,75.2,On time,Others
Rwanda,Air,Test kit,1400,23100.0,16.5,0.55,405.0,3616.95,36.96,On time,India
South Africa,,Tablet,600,12996.0,21.66,0.72,,,20.79,On time,Others
South Africa,,Others,3,28.95,9.65,0.11,,,0.05,On time,Others
South Africa,,Others,400,19304.0,48.26,0.27,,,30.89,On time,Others
South Africa,,Others,100,2208.0,22.08,0.74,,,3.53,On time,Others
Vietnam,Air,Tablet,1000,82200.0,82.2,0.68,249.0,3120.92,131.52,On time,Others
